"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USC00280907","40.89174","-74.39635","85.3","2017-12-01",,,"0.02","0.0","0.0",,"53","28","38",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-02",,,"0.00","0.0","0.0",,"49","26","27",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-03",,,"0.00","0.0","0.0",,"46","26","37",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-04",,,"0.00","0.0","0.0",,"45","25","26",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-05",,,"0.00","0.0","0.0",,"49","25","48",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-06",,,"0.29","0.0","0.0",,"60","44","44",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-07",,,"0.00","0.0","0.0",,"44","28","29",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-08",,,"0.00","0.0","0.0",,"43","29","31",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-09",,,"0.00","0.0","0.0",,"37","30","32",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-10",,,"0.23",,,,"35","25","27",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-11",,,"0.00","0.0","0.0",,"37","27","32",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-12",,,"0.00",,,,"40","32","35",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-13",,,"0.02",,,,"44","20","21",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-14",,,"0.07","2.0","3.0",,"30","19","22",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-15",,,"0.01","0.0","1.0",,"30","11","14",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-16",,,"0.05",,"1.0",,"25","12","24",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-17",,,"0.00","0.0",,,"36","22","29",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-18",,,"0.00","0.0","0.0",,"37","29","32",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-19",,,"0.00","0.0","0.0",,"45","32","45",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-20",,,"0.00","0.0","0.0",,"52","41","41",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-21",,,"0.00","0.0","0.0",,"42","26","29",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-22",,,"0.00","0.0","0.0",,"38","28","32",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-23",,,"0.15","0.0","0.0",,"39","31","37",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-24",,,"0.45","0.0","0.0",,"47","34","35",,,,,,,,,,
"USC00280907","40.89174","-74.39635","85.3","2017-12-25",,,"0.22","0.3","0.0",,"40","31","34",,,,,,,,,,
