,DATE2,ENTRIES,EXITS,PRCP,SNOW,SNWD,TMAX,TMIN
0,2017-12-01,30580,26633,0.0,0.0,0.0,52.0,42.0
1,2017-12-02,11568,10978,0.0,0.0,0.0,48.0,39.0
2,2017-12-03,7588,7336,0.0,0.0,0.0,48.0,42.0
3,2017-12-04,32905,27101,0.0,0.0,0.0,51.0,40.0
4,2017-12-05,32625,27968,0.75,0.0,0.0,61.0,50.0
5,2017-12-06,32858,29336,0.0,0.0,0.0,59.0,40.0
6,2017-12-07,33332,28752,0.0,0.0,0.0,44.0,37.0
7,2017-12-08,30090,26089,0.0,0.0,0.0,39.0,34.0
8,2017-12-09,9534,9433,0.46,4.6,0.0,35.0,30.0
9,2017-12-10,7966,8010,0.0,0.0,3.9,39.0,29.0
10,2017-12-11,31648,26631,0.0,0.0,2.0,41.0,33.0
11,2017-12-12,31868,27531,0.0,0.0,0.0,50.0,29.0
12,2017-12-13,31400,26698,0.0,0.0,0.0,31.0,20.0
13,2017-12-14,31894,27021,0.09,1.2,1.2,32.0,22.0
14,2017-12-15,28913,25307,0.11,1.2,1.2,28.0,20.0
15,2017-12-16,13949,14238,0.0,0.0,2.0,39.0,23.0
16,2017-12-17,10594,11137,0.0,0.0,1.2,38.0,32.0
17,2017-12-18,30970,26463,0.02,0.0,0.0,47.0,34.0
18,2017-12-19,31264,26256,0.0,0.0,0.0,55.0,45.0
19,2017-12-20,30038,25824,0.0,0.0,0.0,51.0,34.0
20,2017-12-21,29035,25284,0.0,0.0,0.0,39.0,32.0
21,2017-12-22,24411,21616,0.0,0.0,0.0,50.0,35.0
22,2017-12-23,6809,6695,0.49,0.0,0.0,48.0,38.0
23,2017-12-24,7362,8162,0.01,0.0,0.0,41.0,36.0
24,2017-12-25,6019,5846,0.23,0.0,0.0,38.0,28.0
25,2017-12-26,20970,20247,0.0,0.0,0.0,28.0,23.0
26,2017-12-27,25079,23033,0.0,0.0,0.0,24.0,17.0
27,2017-12-28,24550,22779,0.0,0.0,0.0,18.0,11.0
28,2017-12-29,22597,20966,0.0,0.0,0.0,22.0,11.0
29,2017-12-30,9820,9825,0.05,0.7,0.0,23.0,17.0
30,2017-12-31,8695,8584,0.0,0.0,0.0,21.0,9.0
31,2018-01-01,7808,7927,0.0,0.0,0.0,19.0,7.0
32,2018-01-02,28105,24099,0.0,0.0,0.0,26.0,13.0
33,2018-01-03,33145,27001,0.0,0.0,0.0,30.0,16.0
34,2018-01-04,14168,12450,0.76,9.8,1.2,29.0,19.0
35,2018-01-05,23869,21022,0.0,0.0,7.1,19.0,9.0
36,2018-01-06,7081,7110,0.0,0.0,5.9,13.0,6.0
37,2018-01-07,5316,5353,0.0,0.0,5.9,18.0,5.0
38,2018-01-08,29704,25475,0.01,0.0,5.1,31.0,17.0
39,2018-01-09,30983,26471,0.0,0.0,5.1,44.0,30.0
40,2018-01-10,30711,25310,0.0,0.0,3.9,43.0,30.0
41,2018-01-11,31303,26880,0.0,0.0,3.1,53.0,41.0
42,2018-01-12,27825,23587,0.54,0.0,0.0,61.0,44.0
43,2018-01-13,8275,7913,0.05,0.0,0.0,58.0,19.0
44,2018-01-14,6025,5858,0.0,0.0,0.0,25.0,15.0
45,2018-01-15,9998,9285,0.0,0.0,0.0,30.0,16.0
46,2018-01-16,30350,25796,0.0,0.0,0.0,36.0,25.0
47,2018-01-17,29116,24532,0.19,0.4,0.0,36.0,22.0
48,2018-01-18,30896,26346,0.0,0.0,0.0,32.0,18.0
49,2018-01-19,28827,24983,0.0,0.0,0.0,41.0,24.0
50,2018-01-20,8725,8600,0.0,0.0,0.0,52.0,38.0
51,2018-01-21,5761,5974,0.0,0.0,0.0,50.0,42.0
52,2018-01-22,29810,24981,0.01,0.0,0.0,49.0,38.0
53,2018-01-23,29364,24676,0.3,0.0,0.0,60.0,38.0
54,2018-01-24,30504,25841,0.0,0.0,0.0,44.0,27.0
55,2018-01-25,30152,25765,0.0,0.0,0.0,34.0,23.0
56,2018-01-26,27988,24580,0.0,0.0,0.0,38.0,26.0
57,2018-01-27,9442,8749,0.0,0.0,0.0,56.0,35.0
58,2018-01-28,5464,5412,0.21,0.0,0.0,55.0,46.0
59,2018-01-29,29665,25067,0.0,0.1,0.0,47.0,35.0
60,2018-01-30,30418,25695,0.11,0.9,0.0,36.0,24.0
61,2018-01-31,30829,26288,0.0,0.0,0.0,33.0,18.0
62,2018-02-01,30532,25772,0.05,0.0,0.0,45.0,32.0
63,2018-02-02,27589,24045,0.18,0.0,0.0,41.0,17.0
64,2018-02-03,7892,7480,0.0,0.0,0.0,31.0,16.0
65,2018-02-04,4805,4679,0.96,0.0,0.0,46.0,30.0
66,2018-02-05,29918,24850,0.0,0.0,0.0,40.0,26.0
67,2018-02-06,31030,25932,0.0,0.0,0.0,37.0,26.0
68,2018-02-07,29899,24902,0.85,0.5,0.0,45.0,30.0
69,2018-02-08,25079,23082,0.0,0.0,0.0,33.0,25.0
70,2018-02-09,29007,24624,0.0,0.0,0.0,39.0,26.0
71,2018-02-10,8619,8536,0.58,0.0,0.0,50.0,39.0
72,2018-02-11,5270,5378,1.21,0.0,0.0,62.0,45.0
73,2018-02-12,29757,25189,0.0,0.0,0.0,62.0,32.0
74,2018-02-13,31803,26923,0.0,0.0,0.0,38.0,26.0
75,2018-02-14,30971,26096,0.08,0.0,0.0,53.0,35.0
76,2018-02-15,30746,26266,0.16,0.0,0.0,62.0,46.0
77,2018-02-16,26184,22764,0.09,0.0,0.0,58.0,36.0
